buyer_request,details,contract_link
"Home Theater Specialist (Gig Harbor, WA 98332)","Home Theater Specialist, Wall mount, Drywall, TV larger than 60 inches, Yes, there’s an electrical outlet nearby, No, I don’t need to conceal cables and wires, No, I’d like help in selecting a mount or stand, Articulating (tilts up and down, moves side to side), Cable or satellite box, DVD or Blu-ray player, Surround sound system",https://www.thumbtack.com/request/580695929069322247?service_id=579066971112030210&syndicated_category=152409361638957433
"Home Theater Specialist (Olympia, WA 98506)","Home Theater Specialist, Wall mount above fireplace, Drywall, TV larger than 60 inches, Yes, there’s an electrical outlet nearby, No, I don’t need to conceal cables and wires, No, I’ll purchase the mount or stand, Tilt (angled up or down), None",https://www.thumbtack.com/request/580710217371246600?service_id=579066971112030210&syndicated_category=152409361638957433
"Countertop Repair Professional (Bonney Lake, WA 98391)","Countertop Repair Professional, Other, Undermount sink came out.  Need installed and then plumbing hooked back up, Quartz, Light - not very noticeable to slight cosmetic damage, Kitchen, Residential",https://www.thumbtack.com/request/580693341423271939?service_id=579066971112030210&syndicated_category=195347818552893937
"Home Theater Specialist (Puyallup, WA 98372)","Home Theater Specialist, Wall mount, Drywall, TV larger than 60 inches, Yes, there’s an electrical outlet nearby, No, I don’t need to conceal cables and wires, Yes, I already have a mount or stand, Articulating (tilts up and down, moves side to side), Gaming console, None",https://www.thumbtack.com/request/580690665225986055?service_id=579066971112030210&syndicated_category=152409361638957433
"Plumber (Puyallup, WA 98371)","Plumber, No, repair is not urgent, No, the building is not currently flooded, Leaking pipes, Other, External Faucet leaking, House",https://www.thumbtack.com/request/580685698224889864?service_id=579066971112030210&syndicated_category=242201292996895171
"Countertop Repair Professional (Olympia, WA 98512)","Countertop Repair Professional, Other, Cut 2 inches out of the granite countertop to accommodate a new slide in range, Granite, Light - not very noticeable to slight cosmetic damage, Kitchen, Residential",https://www.thumbtack.com/request/580683299094716416?service_id=579066971112030210&syndicated_category=195347818552893937
"Fan Installer (Bothell, WA 98012)","Fan Installer, Yes, the location has an existing fan, Ceiling, Under 8 feet (low ceiling)",https://www.thumbtack.com/request/580709593865912327?service_id=579066971112030210&syndicated_category=152409361638957433
"No details (Sequim, WA 98382)",No details,https://www.thumbtack.com/request/580709429972090884?service_id=579066971112030210&syndicated_category=136169012491772391
"No details (Oakville, WA 98568)",No details,https://www.thumbtack.com/request/580706429263937540?service_id=579066971112030210&syndicated_category=122681972262289742
"Drywall Professional (Snohomish, WA 98296)","Drywall Professional, Fill in dents or nail holes, Apply finishing, Patch damaged drywall, Whole house / building, Wall(s), Residential, Owner",https://www.thumbtack.com/request/580701892679434244?service_id=579066971112030210&syndicated_category=122681972262289742
